	GSM3014964_Tissue_CTRL1	GSM3014965_Tissue_CTRL2	GSM3014966_Tissue_CTRL3	GSM3014967_Tissue_CTRL4	GSM3014968_Tissue_CTRL5	GSM3014969_Tissue_CTRL6	GSM3014970_Tissue_CTRL7	GSM3014971_Tissue_CTRL8	GSM3014972_Tissue_PD1	GSM3014973_Tissue_PD2	GSM3014974_Tissue_PD3	GSM3014975_Tissue_PD4	GSM3014976_Tissue_PD5	GSM3014977_Tissue_PD6	GSM3014978_Tissue_PD7	GSM3014979_Tissue_PD8
HBA2	2.848754975502323	0.3701974487264279	-0.4805744543112167	1.03755951852531	-0.28699689266463657	-0.517018494759548	-0.19748588379392923	0.025362229768250717	-0.2921981254664893	1.4252683325871387	0.14842698073925126	-0.5821601920011265	-0.8976830831622135	-1.326724912295994	-0.9492439532186533	-0.32548349417491235
HBA1	2.8963790322947003	0.5249528055635264	-0.2991055498769763	0.9268890100481645	-0.3387543663172272	-0.5159789572767728	-0.20716256164219807	0.06461573931781514	-0.48449690179216726	1.4390365722530407	0.035033458886137465	-0.6546561044670383	-0.6972113723165125	-1.3000296308719759	-0.8970283089315327	-0.4924828648709777
MTND2	3.2666227357256665	-0.2677408456362795	-0.39177483931566165	0.05182116216052879	-0.6248631959346507	-0.4990407039952787	-0.54745700789957	0.9338125778645711	-0.006711839476395894	-0.02351343709016478	-0.3322808099234011	-0.8462765608875199	-0.478998645392847	-0.5590465979127242	-0.8037084956078263	1.1291565033215611
LOC100129717	-3.247226982752334	0.07939950778825125	0.9300710572973232	0.2599285395009326	-0.0027901923668391046	0.5914070037971615	0.9537544300736047	0.16111127887644974	0.05469664277377216	1.15265059910538	-0.5971816690480882	0.24224246858775983	0.16245712544268634	-0.6057680056683123	0.6681220699643954	-0.8028738733721849
HSPB1	2.04663446714651	0.12643210854800202	-1.107373676404634	0.7074443795835889	-0.904743743023668	-1.1340553867036554	-0.47704535078023763	-0.21929127671843796	-0.5996451943392825	-0.3467104682031913	2.2295729984461086	0.28262130919280126	0.6560970889808727	-0.8002037648268105	-0.9302682426687154	0.4705347517707826
FTL	3.2298616892734078	0.704983727422374	-0.8918447080493941	-0.07006964939378431	-0.30009057881237217	-0.6965317394687178	-0.7992482140888946	-0.3281489734159709	-0.5491048071088576	-0.6837239067867193	1.1986829075542809	-0.12556130481110095	0.14009415011219775	-0.4089697829413499	-0.6856550801545334	0.2653262706694002
SCARNA2	-0.10170241326664971	2.93784783063869	-0.48390028468119156	-0.32281845065555237	-0.8575871972286783	-0.4520258373813075	0.13919531919790087	-0.2474415485576778	1.2025911579984163	0.6685225718323171	-1.6223296503310578	0.1537383703780635	-0.1299221826189794	-0.43105707203125815	-0.9834794112170941	0.5303687979240748
FTH1	3.489387739447983	1.0347686784022614	-0.4819651215421603	-0.7536549595490526	-0.30210748773450685	-0.0628442412494509	0.0401166748258508	-0.9027502825063113	-0.5876743938113224	-0.16868000086207446	-0.4078585319645128	-0.28231481515204826	-0.11175518888564141	-0.4013596255985316	-0.39906505132206993	0.2977566075015914
CDR1	1.0039712472249445	-0.9181266148210581	-0.4023543673549656	1.9430032098300114	0.001237919210207079	-1.3677253609369342	0.13641917128066752	2.268925002074158	-0.7367612239336429	-0.17202413114150936	0.7057611203699186	-0.5675128907496301	-0.27563697530424697	-1.1417744043172928	-0.6184836340835926	0.14108193265293612
HBB	2.522026361012865	0.436070798063924	-0.306634867449105	1.2241289450200545	-0.12836989074810054	-0.8154782986495115	-0.10797066910050593	-0.012518098721377807	-0.25401426782645764	1.5853052021912328	0.2227660756288625	-0.29545306217020023	-1.1462082124346087	-1.3542035029070751	-0.9711850291119624	-0.5982614827980341
