Gene_Symbol,GSM3014964_Tissue_CTRL1,GSM3014965_Tissue_CTRL2,GSM3014966_Tissue_CTRL3,GSM3014967_Tissue_CTRL4,GSM3014968_Tissue_CTRL5,GSM3014969_Tissue_CTRL6,GSM3014970_Tissue_CTRL7,GSM3014971_Tissue_CTRL8,GSM3014972_Tissue_PD1,GSM3014973_Tissue_PD2,GSM3014974_Tissue_PD3,GSM3014975_Tissue_PD4,GSM3014976_Tissue_PD5,GSM3014977_Tissue_PD6,GSM3014978_Tissue_PD7,GSM3014979_Tissue_PD8
47.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sep-01,1.14718,0.95899,0.58035,1.16528,0.69113,0.49371,0.54788,1.14479,0.85004,0.62665,0.55305,0.35101,0.39355,0.47832,0.43865,1.06396
Sep-02,13.68073,11.58209,6.85543,8.64723,9.46079,6.53684,7.62216,9.67029,8.58055,7.61188,10.08789,6.86576,8.43742,8.80831,7.00563,15.26071
Sep-03,60.24192,84.98434,101.29785,66.76199,98.37603,118.87109,97.78569,83.65981,92.17522,96.45425,93.65866,117.77967,104.34542,113.6022,111.35802,99.07896
Sep-04,67.73251,36.12469,21.43109,24.67662,18.60374,17.56233,30.26835,18.83784,12.41373,21.76822,11.21986,9.37787,16.32693,7.85844,19.86348,11.76152
Sep-05,212.42551,177.90768,170.38808,110.99963,174.17207,202.06828,165.97624,139.62848,212.93575,184.59637,136.40479,174.42136,156.15567,213.43886,183.77884,175.36169
Sep-06,2.06315,5.16603,6.98509,5.76502,6.07927,5.88396,5.39792,5.3046,6.14646,6.12232,5.09709,5.25818,5.64802,4.54657,6.81742,3.90978
Sep-07,13.3317,13.54654,15.08379,14.14864,15.79342,15.26128,14.66001,15.81072,11.89313,11.81524,15.76046,13.29946,13.88376,14.06,15.94402,12.80829
Sep-08,18.47958,27.51476,27.15269,25.32237,22.39801,24.86327,25.74691,19.20011,24.04431,27.99758,19.28194,25.20505,23.34562,22.71885,26.40958,18.87492
Sep-09,48.36179,48.26802,49.41067,72.11047,51.24116,46.81399,47.81697,44.26141,55.32007,41.69527,60.65788,53.19409,60.28115,48.13116,56.32654,53.79146
Sep-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sep-10,3.38055,2.1811,1.96633,3.22929,1.89196,1.81559,1.40074,1.95337,1.74475,1.68054,2.10347,1.82728,1.69071,1.64392,1.6332,2.38891
Sep-11,10.99297,10.53218,10.25814,10.90278,10.34508,11.33353,9.61912,10.91929,10.34864,9.29548,9.78752,9.92047,10.45064,11.70633,10.90433,11.85347
Sep-12,0.13869,0.03637,0.04236,0.12699,0.15546,0.0764,0.1034,0.15595,0.22838,0.07347,0,0.07988,0.03045,0,0,0
Sep-14,0,0,0,0,0,0.06398,0.01443,0,0,0,0,0,0,0,0,0
Sep-15,4.33117,6.07061,6.87257,4.96951,7.12279,6.69248,7.15444,4.78512,6.77075,6.35906,5.36749,6.25188,5.36627,6.23445,7.19963,6.40047
103AS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103AS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103AS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103AS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103AS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103AS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103AS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103AS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103AS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103AS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103AS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103AS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103AS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103AS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103AS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103AS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103AS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103AS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103AS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183ActI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183ActI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183ActI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27K,23.38475,29.02299,32.39347,29.40341,31.89613,31.38867,27.86871,44.44049,27.76752,23.90142,46.47454,30.73088,30.66099,35.6632,28.50873,42.41986
28H,0,0,0,0,0,0,0,0,0,0.19871,0,0,0.16472,0,0,0
354J5,2.27012,4.19967,4.87245,3.44089,4.12617,5.42468,4.61971,2.49734,4.10171,3.99742,4.44228,5.05322,4.378,4.32925,4.79629,3.34979
5-HT5B,0,0,0,0,0,0.03646,0.02467,0.02977,0,0,0,0,0,0,0,0.01853
71-7A3,5.99851,3.67836,1.57591,4.49482,1.90896,2.15236,1.92319,3.99898,1.94658,2.22882,3.52379,1.15402,1.75968,1.72229,1.61174,4.40387
A10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1BG,3.2894,2.6603,1.83356,1.11052,1.51597,1.74118,1.76269,1.82933,2.67894,2.5568,2.14194,1.69344,2.38853,2.11239,1.77661,3.09397
A1BG-AS1,4.91504,2.79208,2.12452,1.9821,1.9411,1.79853,2.19585,3.24009,2.57112,4.09791,2.48184,2.00304,3.36595,1.63902,1.47957,4.80906
A1CF,0,0,0.01881,0.06344,0.01381,0,0.01722,0.01385,0.02028,0.02447,0,0,0,0.0237,0.00698,0
A20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2M,42.17529,41.77145,41.51047,30.23649,62.78926,40.27016,33.666,31.32898,63.8082,23.61964,39.65414,36.9069,48.80009,55.47515,41.18786,34.13926
A2M-AS1,0.41405,0.41698,0.34399,0.27296,0.47523,0.47442,0.54326,0.64061,0.74178,0.35091,0.4088,0.41971,0.66908,0.47595,0.57042,0.40807
