Gene_Symbol	Chromosome	 Start_coordinate	End_coordinate	Strand	Count	RPKM
47.11	chrALTS_NT_187636	115871	130199	+	0	0
47.11	chrALTS_NT_187637	71380	85883	+	0	0
47.11	chrALTS_NT_187639	71439	85942	+	0	0
47.11	chrALTS_NT_187640	115859	130358	+	0	0
47.11	chrALTS_NT_187641	70899	85414	+	0	0
47.11	chrALTS_NT_187643	71425	85926	+	0	0
47.11	chrALTS_NT_187645	71328	85584	+	0	0
47.11	chrALTS_NT_187668	116012	130516	+	0	0
47.11	chrALTS_NT_187669	71329	85585	+	0	0
47.11	chrALTS_NT_187673	71438	85759	+	0	0
47.11	chrALTS_NT_187685	71372	85693	+	0	0
47.11	chrALTS_NT_187686	116099	130393	+	0	0
47.11	chrALTS_NT_187687	71449	85961	+	0	0
SEPT1	chr16	30378133	30395991	-	17	0.35101
SEPT2	chr2	241315100	241354027	+	657	6.86576
SEPT3	chr22	41976810	41998221	+	6919	117.77967
SEPT4	chr17	58520250	58540818	-	857	9.37787
SEPT5	chr22	19714464	19724772	+	11224	174.42136
SEPT6	chrX	119615724	119695622	-	406	5.25818
SEPT7	chr7	35800932	35907105	+	1587	13.29946
SEPT8	chr5	132750817	132778012	-	1978	25.20505
SEPT9	chr17	77281410	77505792	+	6898	53.19409
SEPT9	chrALTS_NW_003315955	78784	79107	+	0	0
SEPT10	chr2	109542797	109614206	-	103	1.82728
SEPT11	chr4	76949703	77040154	+	1116	9.92047
SEPT12	chr16	4777614	4788521	-	2	0.07988
SEPT14	chr7	55793544	55862789	-	0	0
SEPT15	chr1	86862445	86914424	-	151	6.25188
103AS	chrALTS_NT_187636	139108	160584	+	0	0
103AS	chrALTS_NT_187637	104920	116108	+	0	0
103AS	chrALTS_NT_187638	91648	102557	+	0	0
103AS	chrALTS_NT_187639	104978	116168	+	0	0
103AS	chrALTS_NT_187640	149657	160552	+	0	0
103AS	chrALTS_NT_187641	104537	115613	+	0	0
103AS	chrALTS_NT_187642	91446	102544	+	0	0
103AS	chrALTS_NT_187643	105240	116147	+	0	0
103AS	chrALTS_NT_187644	91486	102562	+	0	0
103AS	chrALTS_NT_187645	105189	115903	+	0	0
103AS	chrALTS_NT_187668	149718	160745	+	0	0
103AS	chrALTS_NT_187669	105195	116111	+	0	0
103AS	chrALTS_NT_187670	91430	102506	+	0	0
103AS	chrALTS_NT_187673	105159	116141	+	0	0
103AS	chrALTS_NT_187684	135423	146406	+	0	0
103AS	chrALTS_NT_187685	105157	116106	+	0	0
103AS	chrALTS_NT_187686	149817	160840	+	0	0
103AS	chrALTS_NT_187687	105003	116151	+	0	0
103AS	chrALTS_NT_113949	91439	102515	+	0	0
183ActI	chrALTS_NT_187636	40126	54421	+	0	0
183ActI	chrALTS_NT_187644	40171	54479	+	0	0
183ActI	chrALTS_NT_187670	40100	54125	+	0	0
27K	chr5	132987652	132988110	-	162	30.73088
28H	chr7	84876554	84876956	+	0	0
354J5	chr6	108782126	108787053	-	286	5.05322
5-HT5B	chr2	117859427	117934944	+	0	0
71-7A3	chr5	37209364	37212381	+	40	1.15402
A10	chr2	90021567	90022185	+	0	0
A1BG	chr19	58345178	58362751	-	120	1.69344
A1BG-AS1	chr19	58351970	58355183	+	49	2.00304
A1CF	chr10	50799409	50885675	-	0	0
A20	chr2	89213417	89213928	-	0	0
A26	chr2	89159751	89160366	-	0	0
A2M	chr12	9067664	9116229	-	2706	36.9069
A2M-AS1	chr12	9065177	9068055	+	11	0.41971
A2ML1	chr12	8822472	8887001	+	191	2.32595
A2MP1	chr12	9228533	9275817	-	0	0
A30	chr2	89117336	89117844	-	0	0
A3GALT2	chr1	33306766	33321098	-	1	0.08511
A4GALT	chr22	42692117	42721301	-	83	1.58693
A4GNT	chr3	138123718	138132387	-	0	0
A6ps1	chr17	29203426	29204474	-	35	2.90513
A-761H5.2	chr16	28700294	28701540	-	0	0
AA06	chr17	33529787	33533760	-	0	0
AAAS	chr12	53307456	53324864	-	188	3.87439
AACP	chr8	18370607	18371484	+	0	0
AACS	chr12	125065379	125143333	+	1087	6.0311
AACSP1	chr5	178764861	178818435	-	0	0
AADAC	chr3	151813974	151828488	+	0	0
AADACL2	chr3	151733916	151761339	+	0	0
AADACL2	chrALTS_NW_003315913	155089	180671	+	0	0
AADACL3	chr1	12716115	12728759	+	0	0
AADACL4	chr1	12644547	12667086	+	0	0
AADACP1	chr3	151770428	151784894	+	0	0
AADAT	chr4	170060222	170091699	-	79	2.36215
AAED1	chr9	96639577	96655317	-	8	0.22484
AAGAB	chr15	67200675	67255198	-	579	6.45671
AAK1	chr2	69457995	69643845	-	3536	11.62171
AAMDC	chr11	77821114	77900785	+	13	0.94721
AAMP	chr2	218264123	218270257	-	1552	46.01086
AANAT	chr17	76453351	76470117	+	6	0.2431
AAR2	chr20	36236417	36256941	+	276	8.07783
AARD	chr8	116938199	116944487	+	0	0
AARS	chr16	70252295	70289555	-	7379	137.40282
AARS2	chr6	44298726	44313357	-	264	4.37259
AARSD1	chr17	42950526	42964498	-	471	20.79633
AASDH	chr4	56338284	56387698	-	251	4.45289
AASDHPPT	chr11	106077489	106098710	+	313	4.49722
AASS	chr7	122073544	122144290	-	134	1.74012
AATF	chr17	36948875	37056871	+	635	13.1081
AATF	chrALTS_NT_187614	1185240	1293236	+	0	0
AATK	chr17	81117295	81166077	-	783	11.15635
AATK-AS1	chr17	81165507	81183164	+	1	0.05521
AB014085.4	chr6	30359278	30359911	-	0	0
AB014085.4	chrALTS_NT_167244	1688775	1689408	-	0	0
AB014085.4	chrALTS_NT_113891	1838958	1839591	-	0	0
AB014085.4	chrALTS_NT_167245	1615125	1615758	-	0	0
AB014085.4	chrALTS_NT_167246	1669513	1670146	-	0	0
AB014085.4	chrALTS_NT_167248	1614360	1614993	-	0	0
AB014085.4	chrALTS_NT_167249	1657735	1658368	-	0	0
AB023060.6	chr6	31140727	31140913	+	0	0
AB023060.6	chrALTS_NT_113891	2623117	2623303	+	0	0
AB023060.6	chrALTS_NT_167245	2400054	2400240	+	0	0
AB023060.6	chrALTS_NT_167246	2451244	2451430	+	0	0
AB023060.6	chrALTS_NT_167247	2484856	2485042	+	0	0
AB023060.6	chrALTS_NT_167248	2398759	2398945	+	0	0
ABAT	chr16	8674565	8784575	+	3524	31.4899
ABC35	chr7	117713753	117715901	+	0	0
ABCA1	chr9	104781002	104928246	-	625	3.88182
ABCA10	chr17	69148007	69244846	-	54	0.58736
ABCA11P	chr4	425435	474209	-	55	1.53539
ABCA12	chr2	214931542	215138428	-	5	0.04584
ABCA13	chr7	48171458	48647496	+	1	0.00453
ABCA17P	chr16	2339150	2426699	+	0	0
ABCA2	chr9	137007227	137028922	-	8315	62.87944
ABCA3	chr16	2275878	2340746	-	7055	80.58305
ABCA4	chr1	93992835	94121149	-	26	0.23961
ABCA5	chr17	69244311	69327244	-	329	2.23957
ABCA6	chr17	69078691	69143262	-	61	0.37189
ABCA7	chr19	1040101	1065572	+	307	3.17656
ABCA8	chr17	68867287	68955404	-	98	0.7466
ABCA9	chr17	68974488	69062296	-	109	0.9647
ABCB1	chr7	87503633	87713323	-	520	8.04921
ABCB10	chr1	229516582	229558695	-	181	3.16145
